appid,genres
842780,"Indie, Simulation, Strategy, Early Access"
946050,"Casual, Indie, RPG, Free To Play"
578310,"Action, Free To Play, Indie, Massively Multiplayer"
207610,Adventure
629910,
2325290,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Free To Play, Early Access"
1325200,"Action, RPG"
312520,"Action, Adventure, Indie"
48220,"RPG, Strategy"
42700,Action
224580,"Action, Simulation, Strategy"
1272080,"Action, Adventure, RPG"
593600,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy"
1336490,"Simulation, Strategy"
518790,"Adventure, Simulation, Sports"
782330,Action
264710,"Adventure, Indie"
970500,
22380,"Action, RPG"
658620,"Adventure, Casual"
259080,"Action, Adventure"
628070,Strategy
1278480,Utilities
955900,
1209040,
533540,
644560,
623990,
7200,Racing
1976440,"RPG, Free To Play"
45760,Action
388750,Action
460160,"Adventure, Casual"
669330,"Action, Indie, Massively Multiplayer, Simulation, Strategy"
770240,
333420,"Action, Adventure, Strategy"
611500,"Action, Free To Play"
1850510,"RPG, Simulation, Strategy"
219830,"Action, Free To Play, Indie"
113200,"Action, Adventure, Indie, RPG"
949230,Simulation
868270,"Action, Free To Play, Massively Multiplayer"
460930,"Action, Adventure"
1342330,"Casual, Indie, Simulation, Strategy"
504370,"Action, Free To Play"
383120,"Adventure, Indie, Simulation, Strategy"
1304930,"Aksiyon, Macera, Bağımsız Yapımcı"
311690,"Action, Adventure, Indie"
993090,Utilities
1755910,"Action, Free To Play"
2379780,"Casual, Indie, Strategy"
2646460,"Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access"
1335200,"Action, Adventure, RPG, Free To Play"
485510,"Action, RPG"
476600,Action
200710,"Action, Adventure, Indie, RPG"
962130,"Action, Adventure"
