appid,genres
979920,"Free-to-Play, MMO, Simulation, Strategy"
383080,"Casual, Free-to-Play, Indie"
39000,nan
758190,"Adventure, Casual, Indie, RPG, Simulation, Strategy"
2878980,"Simulation, Sports"
345610,"Adventure, Casual"
588650,"Action, Adventure, Indie"
438740,nan
22490,nan
397060,"Adventure, Indie, MMO, RPG, Strategy"
475150,"Action, RPG"
1333350,"Adventure, Free-to-Play, RPG, Strategy"
706990,"Action, Free-to-Play, Indie"
1147690,"Adventure, Free-to-Play, Indie, Simulation"
834910,"Action, Adventure, Early Access, MMO, RPG"
1274570,Indie
217490,nan
248390,"Indie, RPG, Simulation, Strategy"
209660,Action
553850,Action
787860,Simulation
255480,nan
1422450,Action
313160,Simulation
236110,"Action, Free-to-Play, Indie, RPG, Strategy"
212500,"Action, Adventure, Free-to-Play, MMO, RPG"
1097840,"Action, Adventure"
1851330,"Action, Free-to-Play, MMO, RPG, Simulation, Strategy"
2694490,"Action, Adventure, Early Access, MMO, RPG"
466560,"Adventure, Indie, Simulation, Strategy"
1280,nan
219640,"Action, Indie"
236690,"Sports, Strategy"
1066780,"Casual, Indie, Simulation, Strategy"
809140,"Indie, Simulation, Strategy"
269210,"Action, Adventure, Indie, MMO, RPG"
1530300,Strategy
1397920,"Adventure, Casual, Free-to-Play, Indie, RPG, Simulation, Strategy"
420110,"Casual, Indie"
748040,"Action, Strategy"
1259980,"Racing, Simulation, Sports"
2370570,"Indie, Utilities"
363890,"Design & Illustration, RPG, Software & Tools"
12210,"Action, Adventure"
897820,"Adventure, Indie, RPG"
2109460,nan
612020,"Casual, Free-to-Play, Indie, Strategy"
1843090,"Action, Adventure, Casual, Indie, Simulation, Strategy"
1775400,"Design & Illustration, Software & Tools"
703080,"Casual, Simulation, Strategy"
493520,Action
1024650,"Simulation, Strategy"
1184370,"Action, Adventure, Indie, RPG, Strategy"
829420,"Casual, Free-to-Play, Indie, Simulation, Strategy"
739630,"Action, Early Access, Indie"
435150,"Adventure, RPG, Strategy"
207890,nan
1874880,"Action, Simulation, Strategy"
223330,nan
1191420,nan
1085510,Racing
1141530,"Early Access, Media & Production, Software & Tools, Utilities"
429680,nan
795630,"Design & Illustration, Media & Production, Photo Editing, Software & Tools"
266150,nan
370240,Sports
625860,"Action, Adventure, Casual, Free-to-Play, Indie, RPG, Simulation, Strategy"
382310,"Early Access, Indie, Simulation"
274940,"Action, Indie"
346630,"Action, Adventure, Indie"
570940,Action
1094780,nan
1611600,"Action, Indie, Simulation, Strategy"
102700,nan
534380,"Action, Adventure, RPG"
221380,Strategy
682130,"Software & Tools, Utilities"
3620,"Action, Casual"
34330,Strategy
323190,"Simulation, Strategy"
1028630,Sports
903950,"Action, Adventure, Early Access, Indie, MMO, RPG"
1863750,"Casual, Indie, RPG, Strategy"
1237970,Action
842780,"Early Access, Indie, Simulation, Strategy"
946050,"Casual, Free-to-Play, Indie, RPG"
578310,"Action, Free-to-Play, Indie, MMO"
207610,Adventure
629910,nan
2325290,"Adventure, Casual, Early Access, Free-to-Play, Indie, MMO, RPG"
1325200,"Action, RPG"
312520,"Action, Adventure, Indie"
48220,"RPG, Strategy"
42700,Action
224580,"Action, Simulation, Strategy"
1272080,"Action, Adventure, RPG"
593600,"Action, Adventure, Casual, MMO, RPG, Strategy"
1336490,"Simulation, Strategy"
518790,"Adventure, Simulation, Sports"
782330,Action
264710,"Adventure, Indie"
970500,nan
22380,"Action, RPG"
658620,"Adventure, Casual"
259080,"Action, Adventure"
628070,Strategy
1278480,Utilities
955900,nan
1209040,nan
533540,nan
644560,nan
623990,nan
7200,Racing
1976440,"Free-to-Play, RPG"
45760,Action
388750,Action
460160,"Adventure, Casual"
669330,"Action, Indie, MMO, Simulation, Strategy"
770240,nan
333420,"Action, Adventure, Strategy"
611500,"Action, Free-to-Play"
1850510,"RPG, Simulation, Strategy"
219830,"Action, Free-to-Play, Indie"
113200,nan
949230,Simulation
868270,"Action, Free-to-Play, MMO"
460930,"Action, Adventure"
1342330,"Casual, Indie, Simulation, Strategy"
504370,"Action, Free-to-Play"
383120,"Adventure, Indie, Simulation, Strategy"
1304930,"Action, Adventure, Indie"
311690,"Action, Adventure, Indie"
993090,Utilities
1755910,"Action, Free-to-Play"
2379780,"Casual, Indie, Strategy"
2646460,"Adventure, Early Access, Indie, MMO, RPG, Simulation"
1335200,"Action, Adventure, Free-to-Play, RPG"
485510,"Action, RPG"
476600,Action
200710,"Action, Adventure, Indie, RPG"
962130,"Action, Adventure"
2507950,"Action, Adventure, Free-to-Play, MMO"
1687950,RPG
282350,nan
1162520,"Casual, Strategy"
895400,"Action, Adventure, Indie, MMO"
1188930,"Adventure, Indie, RPG, Strategy"
307950,"Action, Free-to-Play, MMO"
22320,RPG
1782210,"Action, Casual, Free-to-Play, Indie, Racing"
1816670,"Action, Free-to-Play"
616720,"Design & Illustration, Utilities"
1054490,"Indie, Strategy"
100,Action
1461810,MMO
1237950,"Action, Adventure"
238090,"Action, Adventure"
564310,"Action, Indie"
1145360,"Action, Indie, RPG"
625960,"Adventure, Early Access, Indie, RPG, Strategy"
97330,Strategy
2285150,"Action, Early Access, Indie, MMO, Simulation"
988910,"Action, Indie, Simulation, Sports"
960170,"Action, Casual, Sports"
212740,"Action, Adventure, Free-to-Play, MMO, RPG"
387990,"Action, Adventure, Early Access, Indie, Simulation"
301520,"Action, Free-to-Play, Indie, MMO, RPG, Simulation"
885970,Strategy
859580,"Simulation, Strategy"
504230,"Action, Adventure, Indie"
1030830,"Action, Adventure"
1426210,"Action, Adventure"
531640,"Casual, Free-to-Play, MMO, Strategy"
3330,Casual
266210,"Indie, RPG"
385770,"Action, Casual, Free-to-Play, Indie"
339600,nan
